Total length (TL),April 2013,August 2013,April 2014,July 2014,August 2014,October 2014,November 2014,January 2015,August 2015,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
20,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
30,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
40,0,0,0,0,1,0,0,0,0,,,,,,,,,,,
50,0,0,1,0,0,0,0,0,1,,,,,,,,,,,
60,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
70,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
80,0,0,0,0,0,1,0,0,0,,,,,,,,,,,
90,2,1,0,0,3,0,0,0,0,,,,,,,,,,,
100,1,1,1,0,6,0,0,0,1,,,,,,,,,,,
110,5,2,0,0,7,0,0,0,0,,,,,,,,,,,
120,8,1,1,0,3,2,1,0,1,,,,,,,,,,,
130,16,0,5,0,4,4,1,0,5,,,,,,,,,,,
140,24,1,9,0,2,1,0,0,9,,,,,,,,,,,
150,37,5,36,3,3,1,0,0,36,,,,,,,,,,,
160,26,9,100,2,15,5,1,0,100,,,,,,,,,,,
170,10,18,189,0,23,0,1,0,189,,,,,,,,,,,
180,16,26,232,2,61,0,1,0,232,,,,,,,,,,,
190,6,48,262,2,61,0,0,1,262,,,,,,,,,,,
200,6,50,267,5,65,6,1,1,267,,,,,,,,,,,
210,1,69,220,4,84,4,1,1,220,,,,,,,,,,,
220,5,84,145,0,70,6,1,0,145,,,,,,,,,,,
230,0,46,116,1,66,6,0,3,116,,,,,,,,,,,
240,4,14,106,3,42,4,1,6,106,,,,,,,,,,,
250,2,6,84,0,34,4,4,11,84,,,,,,,,,,,
260,9,1,80,1,25,2,4,18,80,,,,,,,,,,,
270,11,8,92,0,48,0,1,8,92,,,,,,,,,,,
280,20,2,87,2,46,1,5,7,87,,,,,,,,,,,
290,16,2,88,4,59,0,5,2,88,,,,,,,,,,,
300,22,5,102,1,83,0,5,0,102,,,,,,,,,,,
310,8,10,78,1,70,2,1,0,78,,,,,,,,,,,
320,3,6,60,1,64,1,1,0,60,,,,,,,,,,,
330,3,5,35,0,52,2,2,0,35,,,,,,,,,,,
340,2,6,43,1,32,1,2,0,43,,,,,,,,,,,
350,1,4,27,0,19,0,1,0,27,,,,,,,,,,,
360,0,0,34,0,12,0,1,0,34,,,,,,,,,,,
370,0,2,33,0,6,0,0,0,33,,,,,,,,,,,
380,0,1,20,0,6,0,0,0,20,,,,,,,,,,,
390,0,1,12,0,6,0,0,0,12,,,,,,,,,,,
400,0,0,10,0,8,0,0,0,10,,,,,,,,,,,
410,0,0,4,0,7,0,0,0,4,,,,,,,,,,,
420,0,1,3,0,6,0,0,0,3,,,,,,,,,,,
430,0,0,0,0,1,0,0,0,0,,,,,,,,,,,
440,0,0,0,0,1,0,0,0,0,,,,,,,,,,,
450,0,0,1,0,1,0,0,0,1,,,,,,,,,,,